book_name,author,rating,num_ratings,price,img_link
I'm Glad My Mom Died,Jennette McCurdy,4.7 out of 5 stars,"66,190",$11.80,"https://images-na.ssl-images-amazon.com/images/I/71Dax2X6RhL._AC_UL300_SR300,200_.jpg"
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"68,007",$15.75,"https://images-na.ssl-images-amazon.com/images/I/81PNeyIYVfL._AC_UL300_SR300,200_.jpg"
Spare,Prince Harry The Duke of Sussex,4.5 out of 5 stars,"106,263",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91NlZifnNEL._AC_UL300_SR300,200_.jpg"
The Woman in Me,Britney Spears,4.4 out of 5 stars,"40,725",$16.40,"https://images-na.ssl-images-amazon.com/images/I/71KKyNg4PWL._AC_UL300_SR300,200_.jpg"
Elon Musk,Walter Isaacson,4.7 out of 5 stars,"13,274",$22.96,"https://images-na.ssl-images-amazon.com/images/I/81xcEg6jqUL._AC_UL300_SR300,200_.jpg"
Elevate and Dominate: 21 Ways to Win On and Off the Field,Deion Sanders,4.7 out of 5 stars,18,$16.40,"https://images-na.ssl-images-amazon.com/images/I/81ygHh3842L._AC_UL300_SR300,200_.jpg"
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.4 out of 5 stars,"72,048",$15.75,"https://images-na.ssl-images-amazon.com/images/I/91m0hRAcxwL._AC_UL300_SR300,200_.jpg"
"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry,4.5 out of 5 stars,"45,222",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Js8wlvnDL._AC_UL300_SR300,200_.jpg"
The House of Hidden Meanings: A Memoir,RuPaul,4.4 out of 5 stars,207,$22.04,"https://images-na.ssl-images-amazon.com/images/I/81J8vfh4L1L._AC_UL300_SR300,200_.jpg"
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.5 out of 5 stars,"24,960",$17.72,"https://images-na.ssl-images-amazon.com/images/I/91aX7OfkxcL._AC_UL300_SR300,200_.jpg"
One Way Back: A Memoir,Christine Blasey Ford,2.9 out of 5 stars,15,$13.12,"https://images-na.ssl-images-amazon.com/images/I/81B0uGiq4rL._AC_UL300_SR300,200_.jpg"
Oath and Honor: A Memoir and a Warning,Liz Cheney,4.8 out of 5 stars,"12,281",$21.83,"https://images-na.ssl-images-amazon.com/images/I/81tD0uPFKAL._AC_UL300_SR300,200_.jpg"
Be Useful: Seven Tools for Life,Arnold Schwarzenegger,4.7 out of 5 stars,"3,377",$17.72,"https://images-na.ssl-images-amazon.com/images/I/812zbLlGz6L._AC_UL300_SR300,200_.jpg"
My Name Is Barbra,Barbra Streisand,4.6 out of 5 stars,"5,211",$39.38,"https://images-na.ssl-images-amazon.com/images/I/81DaM32MBWL._AC_UL300_SR300,200_.jpg"
Pretty Boys Are Poisonous: Poems,Megan Fox,4.5 out of 5 stars,901,$9.84,"https://images-na.ssl-images-amazon.com/images/I/813UD8fNF2L._AC_UL300_SR300,200_.jpg"
"The Exvangelicals: Loving, Living, and Leaving the White Evangelical Church",Sarah McCammon,4.0 out of 5 stars,12,$13.12,"https://images-na.ssl-images-amazon.com/images/I/91QByNMv28L._AC_UL300_SR300,200_.jpg"
Born a Crime: Stories from a South African Childhood,Trevor Noah,4.7 out of 5 stars,"105,555",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91RTxlqiz4L._AC_UL300_SR300,200_.jpg"
The In-Between: Unforgettable Encounters During Life's Final Moments,Hadley Vlahos R.N.,4.8 out of 5 stars,"7,641",$15.75,"https://images-na.ssl-images-amazon.com/images/I/81xrMvOlRFL._AC_UL300_SR300,200_.jpg"
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.5 out of 5 stars,"23,294",$17.95,"https://images-na.ssl-images-amazon.com/images/I/71R-v1JJD+L._AC_UL300_SR300,200_.jpg"
Finding Me: A Memoir,Viola Davis,4.8 out of 5 stars,"19,868",$22.04,"https://images-na.ssl-images-amazon.com/images/I/914wvTbNAbL._AC_UL300_SR300,200_.jpg"
Cloistered: My Years as a Nun,Catherine Coldstream,4.4 out of 5 stars,57,$17.71,"https://images-na.ssl-images-amazon.com/images/I/81z8XuKd49L._AC_UL300_SR300,200_.jpg"
Drunk-ish: A Memoir of Loving and Leaving Alcohol,Stefanie Wilder-Taylor,4.6 out of 5 stars,140,$11.80,"https://images-na.ssl-images-amazon.com/images/I/710Xbuuy+mL._AC_UL300_SR300,200_.jpg"
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties",Tom O'Neill,4.6 out of 5 stars,"9,407",$26.61,"https://images-na.ssl-images-amazon.com/images/I/81cF+LS89TL._AC_UL300_SR300,200_.jpg"
Churchill: Walking with Destiny,Andrew Roberts,4.8 out of 5 stars,"5,265",$35.44,"https://images-na.ssl-images-amazon.com/images/I/71-wS+WNlPL._AC_UL300_SR300,200_.jpg"
I Did a New Thing: 30 Days to Living Free,Tabitha Brown,4.8 out of 5 stars,88,$22.04,"https://images-na.ssl-images-amazon.com/images/I/71jI4g8LxFL._AC_UL300_SR300,200_.jpg"
Educated: A Memoir,Tara Westover,4.6 out of 5 stars,"213,123",$17.72,"https://images-na.ssl-images-amazon.com/images/I/61xta2jWBBL._AC_UL300_SR300,200_.jpg"
Counting the Cost,Jill Duggar,4.6 out of 5 stars,"8,691",$15.74,"https://images-na.ssl-images-amazon.com/images/I/81M84lPBRDL._AC_UL300_SR300,200_.jpg"
"The Many Lives of Mama Love (Oprah's Book Club): A Memoir of Lying, Stealing, Writing, and Healing",Lara Love Hardin,4.7 out of 5 stars,"2,123",$16.40,"https://images-na.ssl-images-amazon.com/images/I/91cnUqt8WFL._AC_UL300_SR300,200_.jpg"
