book_name,author,rating,num_ratings,price,img_link
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"125,421",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71F4+7rk2eL._AC_UL300_SR300,200_.jpg"
Hidden Potential: The Science of Achieving Greater Things,Adam Grant,4.6 out of 5 stars,"1,981",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71Pgrm3PqjL._AC_UL300_SR300,200_.jpg"
Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,4.4 out of 5 stars,172,$17.72,"https://images-na.ssl-images-amazon.com/images/I/81EIItzQ67L._AC_UL300_SR300,200_.jpg"
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,4.3 out of 5 stars,200,$15.75,"https://images-na.ssl-images-amazon.com/images/I/A1fwasEJTiL._AC_UL300_SR300,200_.jpg"
Worthy: How to Believe You Are Enough and Transform Your Life,Jamie Kern Lima,4.9 out of 5 stars,551,$21.83,"https://images-na.ssl-images-amazon.com/images/I/81S3XBs9wmL._AC_UL300_SR300,200_.jpg"
How to Win Friends & Influence People,Dale Carnegie,4.6 out of 5 stars,"87,827",$15.72,"https://images-na.ssl-images-amazon.com/images/I/81W-E58N88L._AC_UL300_SR300,200_.jpg"
The Mountain Is You: Transforming Self-Sabotage into Self-Mastery,Brianna Wiest,4.7 out of 5 stars,"17,380",$17.46,"https://images-na.ssl-images-amazon.com/images/I/61UC-FYP3gL._AC_UL300_SR300,200_.jpg"
Hábitos atómicos (Español neutro): Un método sencillo y comprobado para desarrollar buenos hábitos y eliminar los malos,James Clear,4.8 out of 5 stars,"14,077",$14.29,"https://images-na.ssl-images-amazon.com/images/I/81d6AzOKMPL._AC_UL300_SR300,200_.jpg"
Burn Book: A Tech Love Story,Kara Swisher,4.4 out of 5 stars,488,$15.74,"https://images-na.ssl-images-amazon.com/images/I/81oUId+lERL._AC_UL300_SR300,200_.jpg"
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,4.8 out of 5 stars,"36,530",$13.12,"https://images-na.ssl-images-amazon.com/images/I/71vXhDMByJL._AC_UL300_SR300,200_.jpg"
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7 out of 5 stars,"42,689",$19.68,"https://images-na.ssl-images-amazon.com/images/I/81TN0My+irL._AC_UL300_SR300,200_.jpg"
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.5 out of 5 stars,"32,009",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81eQ6mdkxgL._AC_UL300_SR300,200_.jpg"
The Laws of Human Nature,Robert Greene,4.8 out of 5 stars,"14,229",$19.64,"https://images-na.ssl-images-amazon.com/images/I/71eXzhnrpbL._AC_UL300_SR300,200_.jpg"
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.5 out of 5 stars,"13,031",$17.50,"https://images-na.ssl-images-amazon.com/images/I/71sKs5Ivf4L._AC_UL300_SR300,200_.jpg"
Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,4.8 out of 5 stars,"10,520",$21.83,"https://images-na.ssl-images-amazon.com/images/I/81hwru1zPNL._AC_UL300_SR300,200_.jpg"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6 out of 5 stars,"1,245",$26.95,"https://images-na.ssl-images-amazon.com/images/I/81dQF4DSUoL._AC_UL300_SR300,200_.jpg"
Unreasonable Hospitality: The Remarkable Power of Giving People More than They Expect,Will Guidara,4.8 out of 5 stars,"2,267",$13.78,"https://images-na.ssl-images-amazon.com/images/I/71rJL3UZSlL._AC_UL300_SR300,200_.jpg"
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.6 out of 5 stars,"36,631",$17.72,"https://images-na.ssl-images-amazon.com/images/I/71tQ6jq5-ZL._AC_UL300_SR300,200_.jpg"
