book_name,author,rating,num_ratings,price,img_link
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,4.7 out of 5 stars,"8,930",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71Hg1QqZkpL._AC_UL300_SR300,200_.jpg"
Learn Spanish with Paul Noble for Beginners – Complete Course: Spanish Made Easy with Your Personal Language Coach,Paul Noble,4.4 out of 5 stars,609,$15.27,"https://images-na.ssl-images-amazon.com/images/I/81a5n+6ICzL._AC_UL300_SR300,200_.jpg"
Think Ahead: 7 Decisions You Can Make Today for the God-Honoring Life You Want Tomorrow,Craig Groeschel,4.8 out of 5 stars,58,$19.68,"https://images-na.ssl-images-amazon.com/images/I/71uvbA-AazL._AC_UL300_SR300,200_.jpg"
Grit: The Power of Passion and Perseverance,Angela Duckworth,4.6 out of 5 stars,"19,011",$13.12,"https://images-na.ssl-images-amazon.com/images/I/81HofIG4iiL._AC_UL300_SR300,200_.jpg"
Financial Feminist: Overcome the Patriarchy’s Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,4.6 out of 5 stars,"1,189",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81nB9mSJfnL._AC_UL300_SR300,200_.jpg"
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7 out of 5 stars,"23,546",$13.78,"https://images-na.ssl-images-amazon.com/images/I/81hIZ20nZSL._AC_UL300_SR300,200_.jpg"
Prepared: A Manual for Surviving Worst-Case Scenarios,Mike Glover,4.8 out of 5 stars,893,$13.78,"https://images-na.ssl-images-amazon.com/images/I/71WMb75zuYL._AC_UL300_SR300,200_.jpg"
On Writing: A Memoir of the Craft,Stephen King,4.7 out of 5 stars,"19,445",$19.95,"https://images-na.ssl-images-amazon.com/images/I/81hFzBmy3bL._AC_UL300_SR300,200_.jpg"
Learn French with Paul Noble for Beginners – Complete Course: French Made Easy with Your Personal Language Coach,Paul Noble,4.5 out of 5 stars,488,$15.27,"https://images-na.ssl-images-amazon.com/images/I/815k9chKaKL._AC_UL300_SR300,200_.jpg"
Allen Carr's Easy Way to Quit Smoking,Allen Carr,4.6 out of 5 stars,"3,189",$18.40,"https://images-na.ssl-images-amazon.com/images/I/81GKp2rqDOL._AC_UL300_SR300,200_.jpg"
Learn Japanese with Paul Noble for Beginners – Complete Course: Japanese Made Easy with Your Personal Language Coach,Paul Noble,5.0 out of 5 stars,7,$21.59,"https://images-na.ssl-images-amazon.com/images/I/71k13navNRS._AC_UL300_SR300,200_.jpg"
The 16 Undeniable Laws of Communication: Apply Them and Make the Most of Your Message,John Maxwell,4.8 out of 5 stars,499,$13.62,"https://images-na.ssl-images-amazon.com/images/I/71n4vmEl6jL._AC_UL300_SR300,200_.jpg"
The Importance of Being Little: What Preschoolers Really Need from Grownups,Erika Christakis,4.5 out of 5 stars,512,$21.88,"https://images-na.ssl-images-amazon.com/images/I/71M2i7DRCSL._AC_UL300_SR300,200_.jpg"
Los cuatro acuerdos (Narración en Castellano) [The Four Agreements (Castilian Narration)]: Una guía práctica para la libertad personal [A Practical Guide for Personal Freedom],Janet Mills,4.8 out of 5 stars,"14,642",$6.08,"https://images-na.ssl-images-amazon.com/images/I/91vXo1PAbnL._AC_UL300_SR300,200_.jpg"
Learn Spanish: How To Speak Conversational Spanish Like a MF: 3 Books in 1: Adults Only Bundle,Patrick Jackson,4.6 out of 5 stars,107,$26.21,"https://images-na.ssl-images-amazon.com/images/I/71k8dbfYXdL._AC_UL300_SR300,200_.jpg"
The Self-Driven Child: The Science and Sense of Giving Your Kids More Control over Their Lives,William Stixrud PhD,4.7 out of 5 stars,"1,243",$17.72,"https://images-na.ssl-images-amazon.com/images/I/71KNeq7kTmL._AC_UL300_SR300,200_.jpg"
Make It Stick: The Science of Successful Learning,Peter C. Brown,4.6 out of 5 stars,"4,083",$23.54,"https://images-na.ssl-images-amazon.com/images/I/71e8wOia07L._AC_UL300_SR300,200_.jpg"
The Elements of Eloquence: Secrets of the Perfect Turn of Phrase,Mark Forsyth,4.7 out of 5 stars,706,$21.05,"https://images-na.ssl-images-amazon.com/images/I/710kWP5YMUL._AC_UL300_SR300,200_.jpg"
Wired for Story: The Writer's Guide to Using Brain Science to Hook Readers from the Very First Sentence,Lisa Cron,4.6 out of 5 stars,"1,340",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71BUvZW+0IL._AC_UL300_SR300,200_.jpg"
"Permission to Feel: Unlocking the Power of Emotions to Help Our Kids, Ourselves, and Our Society Thrive",Marc Brackett,4.7 out of 5 stars,"3,421",$13.12,"https://images-na.ssl-images-amazon.com/images/I/81IVhfYHc7L._AC_UL300_SR300,200_.jpg"
"Pimsleur Spanish Level 1 Lessons 1-5: Learn to Speak, Understand, and Read Spanish with Pimsleur Language Programs",Pimsleur,4.1 out of 5 stars,30,$17.29,"https://images-na.ssl-images-amazon.com/images/I/71qQULMggxL._AC_UL300_SR300,200_.jpg"
