book_name,author,rating,num_ratings,price,img_link
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"125,421",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71F4+7rk2eL._AC_UL300_SR300,200_.jpg"
Hidden Potential: The Science of Achieving Greater Things,Adam Grant,4.6 out of 5 stars,"1,981",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71Pgrm3PqjL._AC_UL300_SR300,200_.jpg"
Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,4.4 out of 5 stars,172,$17.72,"https://images-na.ssl-images-amazon.com/images/I/81EIItzQ67L._AC_UL300_SR300,200_.jpg"
Outlive: The Science and Art of Longevity,Peter Attia MD,4.6 out of 5 stars,"12,372",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71IQ8lCksdL._AC_UL300_SR300,200_.jpg"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Sean Pratt,4.8 out of 5 stars,"73,410",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81olnaENh0L._AC_UL300_SR300,200_.jpg"
Don't Believe Everything You Think: Why Your Thinking Is the Beginning & End of Suffering,Joseph Nguyen,4.6 out of 5 stars,"7,719",$6.08,"https://images-na.ssl-images-amazon.com/images/I/71HfEoDbYBL._AC_UL300_SR300,200_.jpg"
Hábitos atómicos (Español neutro): Un método sencillo y comprobado para desarrollar buenos hábitos y eliminar los malos,James Clear,4.8 out of 5 stars,"14,077",$14.29,"https://images-na.ssl-images-amazon.com/images/I/81d6AzOKMPL._AC_UL300_SR300,200_.jpg"
The Laws of Human Nature,Robert Greene,4.8 out of 5 stars,"14,229",$19.64,"https://images-na.ssl-images-amazon.com/images/I/71eXzhnrpbL._AC_UL300_SR300,200_.jpg"
It's Not You: Identifying and Healing from Narcissistic People,Ramani Durvasula PhD,4.9 out of 5 stars,631,$17.72,"https://images-na.ssl-images-amazon.com/images/I/816v97NLFdL._AC_UL300_SR300,200_.jpg"
"The Art of Letting Go: Stop Overthinking, Stop Negative Spirals, and Find Emotional Freedom: The Path to Calm, Book 13",Nick Trenton,4.4 out of 5 stars,177,$13.08,"https://images-na.ssl-images-amazon.com/images/I/71bU-TT1vVL._AC_UL300_SR300,200_.jpg"
Becoming Supernatural: How Common People Are Doing the Uncommon,Adam Boyce,4.8 out of 5 stars,"19,702",$27.04,"https://images-na.ssl-images-amazon.com/images/I/A1I5ty67-jL._AC_UL300_SR300,200_.jpg"
Good Inside: A Guide to Becoming the Parent You Want to Be,Becky Kennedy,4.8 out of 5 stars,"2,390",$22.04,"https://images-na.ssl-images-amazon.com/images/I/71-DAZUfkdL._AC_UL300_SR300,200_.jpg"
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,4.7 out of 5 stars,"19,887",$13.78,"https://images-na.ssl-images-amazon.com/images/I/71+XFnfROQL._AC_UL300_SR300,200_.jpg"
Look Again: The Power of Noticing What Was Always There,Tali Sharot,4.4 out of 5 stars,15,$11.80,"https://images-na.ssl-images-amazon.com/images/I/71j-u0cpJYL._AC_UL300_SR300,200_.jpg"
The In-Between: Unforgettable Encounters During Life's Final Moments,Hadley Vlahos R.N.,4.8 out of 5 stars,"7,640",$15.75,"https://images-na.ssl-images-amazon.com/images/I/81xrMvOlRFL._AC_UL300_SR300,200_.jpg"
Come As You Are: Revised and Updated: The Surprising New Science That Will Transform Your Sex Life,Emily Nagoski PhD,4.7 out of 5 stars,"5,348",$15.74,"https://images-na.ssl-images-amazon.com/images/I/81T-FIQF43L._AC_UL300_SR300,200_.jpg"
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.8 out of 5 stars,"19,659",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81MgglteUFL._AC_UL300_SR300,200_.jpg"
Atomic Attraction: The Psychology of Attraction,Christopher Canwell,4.6 out of 5 stars,"1,712",$5.99,"https://images-na.ssl-images-amazon.com/images/I/81kUWvsEXvL._AC_UL300_SR300,200_.jpg"
