book_name,author,rating,num_ratings,price,img_link
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.5 out of 5 stars,"23,300",$17.95,"https://images-na.ssl-images-amazon.com/images/I/71R-v1JJD+L._AC_UL300_SR300,200_.jpg"
How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,KC Davis LPC,4.7 out of 5 stars,"6,701",$9.84,"https://images-na.ssl-images-amazon.com/images/I/91OoHonaidL._AC_UL300_SR300,200_.jpg"
Crying in H Mart: A Memoir,Michelle Zauner,4.4 out of 5 stars,"22,388",$15.75,"https://images-na.ssl-images-amazon.com/images/I/81gcQTXsBoL._AC_UL300_SR300,200_.jpg"
Really Very Crunchy: A Beginner's Guide to Removing Toxins from Your Life Without Adding Them to Your Personality,Emily Morrow,5.0 out of 5 stars,146,$14.95,"https://images-na.ssl-images-amazon.com/images/I/810xbLVXo8L._AC_UL300_SR300,200_.jpg"
A Dirty Guide to a Clean Home: Housekeeping Hacks You Can't Live Without,Melissa Dilkes Pateras,4.5 out of 5 stars,129,$13.78,"https://images-na.ssl-images-amazon.com/images/I/81amI2fGI7L._AC_UL300_SR300,200_.jpg"
Your Dog Is Your Mirror: The Emotional Capacity of Our Dogs and Ourselves,Kevin Behan,4.2 out of 5 stars,359,$21.88,"https://images-na.ssl-images-amazon.com/images/I/81smRZ5V-ML._AC_UL300_SR300,200_.jpg"
Your Table Is Ready: Tales of a New York City Maître D',Michael Cecchi-Azzolina,4.2 out of 5 stars,"1,736",$17.71,"https://images-na.ssl-images-amazon.com/images/I/91HmrdZBKXL._AC_UL300_SR300,200_.jpg"
Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,Anthony Bourdain,4.5 out of 5 stars,"4,724",$21.95,"https://images-na.ssl-images-amazon.com/images/I/91Ha63U2PvL._AC_UL300_SR300,200_.jpg"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondo,4.5 out of 5 stars,"59,059",$12.03,"https://images-na.ssl-images-amazon.com/images/I/A1Iou9K8hdL._AC_UL300_SR300,200_.jpg"
"Not That Fancy: Simple Lessons on Living, Loving, Eating, and Dusting Off Your Boots",Reba McEntire,4.8 out of 5 stars,"1,083",$17.32,"https://images-na.ssl-images-amazon.com/images/I/91LX369ohyL._AC_UL300_SR300,200_.jpg"
All Creatures Great and Small: The Warm and Joyful Memoirs of the World's Most Beloved Animal Doctor,Christopher Timothy,4.8 out of 5 stars,"18,920",$29.95,"https://images-na.ssl-images-amazon.com/images/I/810oYW21qbL._AC_UL300_SR300,200_.jpg"
Taste: My Life Through Food,Stanley Tucci,4.7 out of 5 stars,"11,421",$11.80,"https://images-na.ssl-images-amazon.com/images/I/81rXcVViS1L._AC_UL300_SR300,200_.jpg"
"Horse Brain, Human Brain: The Neuroscience of Horsemanship",Janet L. Jones,4.8 out of 5 stars,"1,164",$20.31,"https://images-na.ssl-images-amazon.com/images/I/81nTqB5veUL._AC_UL300_SR300,200_.jpg"
Meat Eater: Adventures from the Life of an American Hunter,Steven Rinella,4.8 out of 5 stars,"3,109",$15.75,"https://images-na.ssl-images-amazon.com/images/I/91058FV0CdL._AC_UL300_SR300,200_.jpg"
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8 out of 5 stars,"23,018",$11.80,"https://images-na.ssl-images-amazon.com/images/I/91S7uDGdVNL._AC_UL300_SR300,200_.jpg"
How to Raise the Perfect Dog: Through Puppyhood and Beyond,Melissa Jo Peltier,4.4 out of 5 stars,"9,054",$23.95,"https://images-na.ssl-images-amazon.com/images/I/91Ia8kthLcL._AC_UL300_SR300,200_.jpg"
How to Manage Your Home Without Losing Your Mind: Dealing with Your House's Dirty Little Secrets,Dana K. White,4.7 out of 5 stars,"3,216",$17.32,"https://images-na.ssl-images-amazon.com/images/I/817DxYxZMRL._AC_UL300_SR300,200_.jpg"
All Things Bright and Beautiful,Christopher Timothy,4.8 out of 5 stars,"5,075",$26.95,"https://images-na.ssl-images-amazon.com/images/I/810xPJhDGJL._AC_UL300_SR300,200_.jpg"
Project 333: The Minimalist Fashion Challenge That Proves Less Really Is So Much More,Courtney Carver,4.6 out of 5 stars,"1,401",$11.81,"https://images-na.ssl-images-amazon.com/images/I/71SrrClYfoL._AC_UL300_SR300,200_.jpg"
The Forever Dog: A New Science Blueprint for Raising Exceptionally Healthy and Happy Companions,Rodney Habib,4.7 out of 5 stars,"5,034",$25.19,"https://images-na.ssl-images-amazon.com/images/I/81N2UJv6CUL._AC_UL300_SR300,200_.jpg"
"Clean My Space: The Secret to Cleaning Better, Faster, and Loving Your Home Every Day",Melissa Maker,4.7 out of 5 stars,"1,312",$11.81,"https://images-na.ssl-images-amazon.com/images/I/811tVke6HXL._AC_UL300_SR300,200_.jpg"
The Comprehensive Guide to Herbalism for Beginners: Grow Medicinal Herbs to Fill Your Herbalist Apothecary with Natural Herbal Remedies and Plant Medicine,Ava Green,4.6 out of 5 stars,69,$13.62,"https://images-na.ssl-images-amazon.com/images/I/91xJ+rqwJvL._AC_UL300_SR300,200_.jpg"
Enough Already: Learning to Love the Way I Am Today,Valerie Bertinelli,4.7 out of 5 stars,"6,260",$17.32,"https://images-na.ssl-images-amazon.com/images/I/81yx8ESC2UL._AC_UL300_SR300,200_.jpg"
Dahlias: Seed to Bloom: The Dahlia Grower's Companion,Kristine Albrecht,4.7 out of 5 stars,139,$17.46,"https://images-na.ssl-images-amazon.com/images/I/91oIA62zwJL._AC_UL300_SR300,200_.jpg"
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.6 out of 5 stars,"5,319",$21.95,"https://images-na.ssl-images-amazon.com/images/I/71u8vMBVePL._AC_UL300_SR300,200_.jpg"
Organizing for the Rest of Us: 100 Realistic Strategies to Keep Any House Under Control,Dana K. White,4.7 out of 5 stars,"1,423",$13.38,"https://images-na.ssl-images-amazon.com/images/I/7160JEB-6iL._AC_UL300_SR300,200_.jpg"
Outdoor Kids in an Inside World: Getting Your Family Out of the House and Radically Engaged with Nature,Steven Rinella,4.8 out of 5 stars,"1,093",$15.75,"https://images-na.ssl-images-amazon.com/images/I/9158lxqGEkL._AC_UL300_SR300,200_.jpg"
The Lord God Made Them All,Christopher Timothy,4.8 out of 5 stars,"6,567",$23.95,"https://images-na.ssl-images-amazon.com/images/I/810T2KnGY3L._AC_UL300_SR300,200_.jpg"
The Gentle Art of Swedish Death Cleaning: How to Free Yourself and Your Family from a Lifetime of Clutter,Margareta Magnusson,4.3 out of 5 stars,"5,209",$9.84,"https://images-na.ssl-images-amazon.com/images/I/816-YZ5xwdL._AC_UL300_SR300,200_.jpg"
All Things Wise and Wonderful,Christopher Timothy,4.8 out of 5 stars,"7,893",$29.95,"https://images-na.ssl-images-amazon.com/images/I/81fu2g6x6QL._AC_UL300_SR300,200_.jpg"
