book_name,author,rating,num_ratings,price,img_link
The Women: A Novel,Kristin Hannah,4.8 out of 5 stars,"45,437",$21.65,"https://images-na.ssl-images-amazon.com/images/I/91mP3553EzL._AC_UL300_SR300,200_.jpg"
Just Another Missing Person: A Novel,Gillian McAllister,4.1 out of 5 stars,"4,297",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81Ql-l8+XAL._AC_UL300_SR300,200_.jpg"
"Fourth Wing: Empyrean, Book 1",Rebecca Yarros,4.8 out of 5 stars,"181,545",$22.57,"https://images-na.ssl-images-amazon.com/images/I/A15A7wamBML._AC_UL300_SR300,200_.jpg"
Dune Messiah,Frank Herbert,4.4 out of 5 stars,"27,369",$15.95,"https://images-na.ssl-images-amazon.com/images/I/81VCyFRJT2L._AC_UL300_SR300,200_.jpg"
Listen for the Lie: A Novel,Amy Tintera,4.4 out of 5 stars,"1,326",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Ln7A2uGYL._AC_UL300_SR300,200_.jpg"
The Teacher,Freida McFadden,4.3 out of 5 stars,"53,652",$12.24,"https://images-na.ssl-images-amazon.com/images/I/81IPNZYDkvL._AC_UL300_SR300,200_.jpg"
A Court of Silver Flames,Sarah J. Maas,4.8 out of 5 stars,"133,686",$7.99,"https://images-na.ssl-images-amazon.com/images/I/91s+Ai-5vUL._AC_UL300_SR300,200_.jpg"
The Heaven & Earth Grocery Store: A Novel,James McBride,4.4 out of 5 stars,"38,310",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81VgwKeq6jL._AC_UL300_SR300,200_.jpg"
Remarkably Bright Creatures: A Novel,Shelby Van Pelt,4.6 out of 5 stars,"58,723",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91jbLYiK43L._AC_UL300_SR300,200_.jpg"
"House of Sky and Breath: Crescent City, Book 2",Sarah J. Maas,4.8 out of 5 stars,"73,961",$43.71,"https://images-na.ssl-images-amazon.com/images/I/91UF7iKq8ML._AC_UL300_SR300,200_.jpg"
"Shōgun, Part One: The Asian Saga, Book 1.1",James Clavell,4.7 out of 5 stars,798,$20.44,"https://images-na.ssl-images-amazon.com/images/I/91QQYVntN+L._AC_UL300_SR300,200_.jpg"
The Three-Body Problem,Cixin Liu,4.3 out of 5 stars,"42,701",$17.71,"https://images-na.ssl-images-amazon.com/images/I/910ap6L7TXL._AC_UL300_SR300,200_.jpg"
Tom Lake: A Novel,Ann Patchett,4.3 out of 5 stars,"32,439",$21.25,"https://images-na.ssl-images-amazon.com/images/I/91UMpRnuW1L._AC_UL300_SR300,200_.jpg"
The Little Liar: A Novel,Mitch Albom,4.7 out of 5 stars,"6,679",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91s+yAijrHL._AC_UL300_SR300,200_.jpg"
"Haunting Adeline: Cat and Mouse Duet, Book 1",H. D. Carlton,4.4 out of 5 stars,"90,485",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91onD4mp48L._AC_UL300_SR300,200_.jpg"
The Frozen River: A Novel,Ariel Lawhon,4.6 out of 5 stars,"9,649",$19.69,"https://images-na.ssl-images-amazon.com/images/I/A1-ni760x4L._AC_UL300_SR300,200_.jpg"
Starter Villain,John Scalzi,4.6 out of 5 stars,"6,605",$7.99,"https://images-na.ssl-images-amazon.com/images/I/71D0uEYf2pL._AC_UL300_SR300,200_.jpg"
Demon Copperhead: A Novel,Barbara Kingsolver,4.6 out of 5 stars,"96,366",$35.43,"https://images-na.ssl-images-amazon.com/images/I/91eIanmV7KL._AC_UL300_SR300,200_.jpg"
Project Hail Mary,Andy Weir,4.7 out of 5 stars,"119,395",$26.21,"https://images-na.ssl-images-amazon.com/images/I/91vS2L5YfEL._AC_UL300_SR300,200_.jpg"
The Covenant of Water,Abraham Verghese,4.6 out of 5 stars,"60,541",$26.33,"https://images-na.ssl-images-amazon.com/images/I/91wPWt0z1BL._AC_UL300_SR300,200_.jpg"
Lessons in Chemistry: A Novel,Bonnie Garmus,4.6 out of 5 stars,"276,351",$17.72,"https://images-na.ssl-images-amazon.com/images/I/71ok9jCkgVL._AC_UL300_SR300,200_.jpg"
Children of Dune,Frank Herbert,4.6 out of 5 stars,"17,074",$29.95,"https://images-na.ssl-images-amazon.com/images/I/91HFAw1hypL._AC_UL300_SR300,200_.jpg"
The Nightingale,Kristin Hannah,4.7 out of 5 stars,"302,355",$21.65,"https://images-na.ssl-images-amazon.com/images/I/81MSoBp+PAL._AC_UL300_SR300,200_.jpg"
Penelope in Retrograde: A Novel,Brooke Abrams,4.3 out of 5 stars,"11,417",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91sIHBloFPL._AC_UL300_SR300,200_.jpg"
The Seven Husbands of Evelyn Hugo: A Novel,Alma Cuervo,4.6 out of 5 stars,"222,321",$15.74,"https://images-na.ssl-images-amazon.com/images/I/81pybFd2PBL._AC_UL300_SR300,200_.jpg"
"The Way of Kings: The Stormlight Archive, Book 1",Brandon Sanderson,4.8 out of 5 stars,"67,596",$47.95,"https://images-na.ssl-images-amazon.com/images/I/91iPex6QO8L._AC_UL300_SR300,200_.jpg"
Never Lie,Freida McFadden,4.4 out of 5 stars,"135,333",$23.88,"https://images-na.ssl-images-amazon.com/images/I/91xPgJI0AvL._AC_UL300_SR300,200_.jpg"
James: A Novel,Percival Everett,4.7 out of 5 stars,23,$17.72,"https://images-na.ssl-images-amazon.com/images/I/61cHVoYsucL._AC_UL300_SR300,200_.jpg"
"The Serpent and the Wings of Night: Crowns of Nyaxia, Book 1",Carissa Broadbent,4.6 out of 5 stars,"71,838",$29.66,"https://images-na.ssl-images-amazon.com/images/I/819O7K6WN-L._AC_UL300_SR300,200_.jpg"
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,4.8 out of 5 stars,"28,121",$40.94,"https://images-na.ssl-images-amazon.com/images/I/91H85tYZlgL._AC_UL300_SR300,200_.jpg"
