book_name,author,rating,num_ratings,price,img_link
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.7 out of 5 stars,"49,058",$5.99,"https://images-na.ssl-images-amazon.com/images/I/818mrorIALL._AC_UL300_SR300,200_.jpg"
Rich Dad Poor Dad: 20th Anniversary Edition: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"96,269",$17.50,"https://images-na.ssl-images-amazon.com/images/I/814XbqXAz-L._AC_UL300_SR300,200_.jpg"
I Will Teach You to Be Rich: No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,4.7 out of 5 stars,"19,084",$29.66,"https://images-na.ssl-images-amazon.com/images/I/81grapD5x1L._AC_UL300_SR300,200_.jpg"
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"44,925",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81T0lHiPNML._AC_UL300_SR300,200_.jpg"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"23,728",$11.95,"https://images-na.ssl-images-amazon.com/images/I/81nPwPrfwpL._AC_UL300_SR300,200_.jpg"
Look Again: The Power of Noticing What Was Always There,Tali Sharot,4.4 out of 5 stars,15,$11.80,"https://images-na.ssl-images-amazon.com/images/I/71j-u0cpJYL._AC_UL300_SR300,200_.jpg"
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,4.7 out of 5 stars,"29,365",$14.17,"https://images-na.ssl-images-amazon.com/images/I/81H48SWHYbL._AC_UL300_SR300,200_.jpg"
The Holy Grail of Investing,Tony Robbins,4.0 out of 5 stars,290,$15.74,"https://images-na.ssl-images-amazon.com/images/I/81J4lPsKJrL._AC_UL300_SR300,200_.jpg"
"The Black Girl's Guide to Financial Freedom: Build Wealth, Retire Early, and Live the Life of Your Dreams",Paris Woods,4.7 out of 5 stars,"1,367",$4.99,"https://images-na.ssl-images-amazon.com/images/I/71hjJSbXVFL._AC_UL300_SR300,200_.jpg"
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Ray Porter,4.5 out of 5 stars,"26,688",$19.95,"https://images-na.ssl-images-amazon.com/images/I/81uDiLTczbL._AC_UL300_SR300,200_.jpg"
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,4.7 out of 5 stars,"11,759",$20.95,"https://images-na.ssl-images-amazon.com/images/I/81RTNzgO95L._AC_UL300_SR300,200_.jpg"
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,Charles Constant,4.7 out of 5 stars,"8,845",$17.32,"https://images-na.ssl-images-amazon.com/images/I/81DTIG+ZBoL._AC_UL300_SR300,200_.jpg"
"The Simple Path to Wealth: Your Road Map to Financial Independence and a Rich, Free Life",JL Collins,4.7 out of 5 stars,"13,388",$17.46,"https://images-na.ssl-images-amazon.com/images/I/811cDnuYOSL._AC_UL300_SR300,200_.jpg"
The Millionaire Next Door: The Surprising Secrets of America's Rich,Cotter Smith,4.6 out of 5 stars,"14,961",$20.95,"https://images-na.ssl-images-amazon.com/images/I/A1LWhKqV0oL._AC_UL300_SR300,200_.jpg"
"Hustle Harder, Hustle Smarter","Curtis ""50 Cent"" Jackson",4.8 out of 5 stars,"7,750",$19.68,"https://images-na.ssl-images-amazon.com/images/I/91SHwBxMJbL._AC_UL300_SR300,200_.jpg"
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,4.6 out of 5 stars,679,$21.83,"https://images-na.ssl-images-amazon.com/images/I/91UjjgvwGDL._AC_UL300_SR300,200_.jpg"
