book_name,author,rating,num_ratings,price,img_link
Just Another Missing Person: A Novel,Gillian McAllister,4.1 out of 5 stars,"4,297",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81Ql-l8+XAL._AC_UL300_SR300,200_.jpg"
First Lie Wins: A Novel,Ashley Elston,4.4 out of 5 stars,"25,016",$17.72,"https://images-na.ssl-images-amazon.com/images/I/81O4b-j4vnL._AC_UL300_SR300,200_.jpg"
The Housemaid,Freida McFadden,4.5 out of 5 stars,"268,266",$5.99,"https://images-na.ssl-images-amazon.com/images/I/81Y1TlywXDL._AC_UL300_SR300,200_.jpg"
Listen for the Lie: A Novel,Amy Tintera,4.4 out of 5 stars,"1,326",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Ln7A2uGYL._AC_UL300_SR300,200_.jpg"
The Teacher,Freida McFadden,4.3 out of 5 stars,"53,652",$12.24,"https://images-na.ssl-images-amazon.com/images/I/81IPNZYDkvL._AC_UL300_SR300,200_.jpg"
Remarkably Bright Creatures: A Novel,Shelby Van Pelt,4.6 out of 5 stars,"58,723",$22.04,"https://images-na.ssl-images-amazon.com/images/I/91jbLYiK43L._AC_UL300_SR300,200_.jpg"
The Housemaid's Secret,Freida McFadden,4.4 out of 5 stars,"141,537",$5.99,"https://images-na.ssl-images-amazon.com/images/I/913TDZlxG8L._AC_UL300_SR300,200_.jpg"
The Hunter: A Novel,Tana French,4.6 out of 5 stars,"1,814",$19.69,"https://images-na.ssl-images-amazon.com/images/I/91GOwLVXm+L._AC_UL300_SR300,200_.jpg"
"Butcher & Blackbird: The Ruinous Love Trilogy, Book 1",Brynne Weaver,4.4 out of 5 stars,"20,943",$17.46,"https://images-na.ssl-images-amazon.com/images/I/91j+EQ6ZdGL._AC_UL300_SR300,200_.jpg"
None of This Is True: A Novel,Lisa Jewell,4.3 out of 5 stars,"32,842",$16.40,"https://images-na.ssl-images-amazon.com/images/I/91R12PezWmL._AC_UL300_SR300,200_.jpg"
"Haunting Adeline: Cat and Mouse Duet, Book 1",H. D. Carlton,4.4 out of 5 stars,"90,485",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91onD4mp48L._AC_UL300_SR300,200_.jpg"
The Frozen River: A Novel,Ariel Lawhon,4.6 out of 5 stars,"9,649",$19.69,"https://images-na.ssl-images-amazon.com/images/I/A1-ni760x4L._AC_UL300_SR300,200_.jpg"
"The Chaos Agent: Gray Man, Book 13",Mark Greaney,4.6 out of 5 stars,"4,000",$26.21,"https://images-na.ssl-images-amazon.com/images/I/81aPRKwxrAL._AC_UL300_SR300,200_.jpg"
The Ritual,Shantel Tessier,4.4 out of 5 stars,"59,106",$6.99,"https://images-na.ssl-images-amazon.com/images/I/91mNuBvUjfL._AC_UL300_SR300,200_.jpg"
Still See You Everywhere,Lisa Gardner,4.5 out of 5 stars,757,$19.10,"https://images-na.ssl-images-amazon.com/images/I/81j2nQaqM7L._AC_UL300_SR300,200_.jpg"
Verity,Colleen Hoover,4.6 out of 5 stars,"335,364",$17.46,"https://images-na.ssl-images-amazon.com/images/I/91GK2UcpNmL._AC_UL300_SR300,200_.jpg"
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.4 out of 5 stars,"72,106",$15.75,"https://images-na.ssl-images-amazon.com/images/I/91m0hRAcxwL._AC_UL300_SR300,200_.jpg"
The Silent Patient,Alex Michaelides,4.4 out of 5 stars,"303,455",$17.71,"https://images-na.ssl-images-amazon.com/images/I/91RVshgQn1S._AC_UL300_SR300,200_.jpg"
"Hunting Adeline: Cat and Mouse Duet, Book 2",H. D. Carlton,4.5 out of 5 stars,"74,123",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91OluQWw+RL._AC_UL300_SR300,200_.jpg"
Never Lie,Freida McFadden,4.4 out of 5 stars,"135,333",$23.88,"https://images-na.ssl-images-amazon.com/images/I/91xPgJI0AvL._AC_UL300_SR300,200_.jpg"
Apples Never Fall,Liane Moriarty,4.2 out of 5 stars,"77,120",$21.65,"https://images-na.ssl-images-amazon.com/images/I/81WXyi0+OXL._AC_UL300_SR300,200_.jpg"
Fairy Tale,Stephen King,4.6 out of 5 stars,"58,562",$22.96,"https://images-na.ssl-images-amazon.com/images/I/91DMkUS6KDL._AC_UL300_SR300,200_.jpg"
The #1 Lawyer,James Patterson,4.6 out of 5 stars,93,$21.83,"https://images-na.ssl-images-amazon.com/images/I/81wJaxtGZLL._AC_UL300_SR300,200_.jpg"
The Inmate,Freida McFadden,4.4 out of 5 stars,"106,217",$23.88,"https://images-na.ssl-images-amazon.com/images/I/81Olfe6Zf7L._AC_UL300_SR300,200_.jpg"
"Own Me: Wolf Hotel, Book 5",K. A. Tucker,4.5 out of 5 stars,"5,261",$15.30,"https://images-na.ssl-images-amazon.com/images/I/71F-rF2CjzL._AC_UL300_SR300,200_.jpg"
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.5 out of 5 stars,"25,012",$17.72,"https://images-na.ssl-images-amazon.com/images/I/91aX7OfkxcL._AC_UL300_SR300,200_.jpg"
The Guest: A Novel,B.A. Paris,4.0 out of 5 stars,"1,306",$13.12,"https://images-na.ssl-images-amazon.com/images/I/81jyjInSZOL._AC_UL300_SR300,200_.jpg"
The Rose Code: A Novel,Kate Quinn,4.6 out of 5 stars,"44,377",$26.16,"https://images-na.ssl-images-amazon.com/images/I/91LnWscZ-wL._AC_UL300_SR300,200_.jpg"
Dungeon Crawler Carl: A LitRPG/Gamelit Adventure,Matt Dinniman,4.7 out of 5 stars,"9,396",$6.99,"https://images-na.ssl-images-amazon.com/images/I/91LBEu2s7yL._AC_UL300_SR300,200_.jpg"
"The Spy Coast: A Thriller (The Martini Club, Book 1)",Tess Gerritsen,4.5 out of 5 stars,"59,462",$26.33,"https://images-na.ssl-images-amazon.com/images/I/A18HaouJxiL._AC_UL300_SR300,200_.jpg"
