book_name,author,rating,num_ratings,price,img_link
Get It Together: Troubling Tales from the Liberal Fringe,Jesse Watters,4.7 out of 5 stars,12,$22.04,"https://images-na.ssl-images-amazon.com/images/I/817x4cKWKhL._AC_UL300_SR300,200_.jpg"
Bad Therapy: Why the Kids Aren't Growing Up,Abigail Shrier,4.4 out of 5 stars,212,$15.75,"https://images-na.ssl-images-amazon.com/images/I/8170T3Vb9HL._AC_UL300_SR300,200_.jpg"
Spare,Prince Harry The Duke of Sussex,4.5 out of 5 stars,"106,263",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91NlZifnNEL._AC_UL300_SR300,200_.jpg"
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7 out of 5 stars,"79,343",$25.20,"https://images-na.ssl-images-amazon.com/images/I/71PXmc5BgAL._AC_UL300_SR300,200_.jpg"
Burn Book: A Tech Love Story,Kara Swisher,4.4 out of 5 stars,489,$15.74,"https://images-na.ssl-images-amazon.com/images/I/81oUId+lERL._AC_UL300_SR300,200_.jpg"
"The Courage to Be Disliked: How to Free Yourself, Change Your Life, and Achieve Real Happiness",Ichiro Kishimi,4.5 out of 5 stars,"15,169",$11.80,"https://images-na.ssl-images-amazon.com/images/I/717yQOKuQTL._AC_UL300_SR300,200_.jpg"
One Way Back: A Memoir,Christine Blasey Ford,2.9 out of 5 stars,15,$13.12,"https://images-na.ssl-images-amazon.com/images/I/81B0uGiq4rL._AC_UL300_SR300,200_.jpg"
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David Brooks,4.6 out of 5 stars,"2,084",$17.72,"https://images-na.ssl-images-amazon.com/images/I/91i4B4+798L._AC_UL300_SR300,200_.jpg"
Oath and Honor: A Memoir and a Warning,Liz Cheney,4.8 out of 5 stars,"12,281",$21.83,"https://images-na.ssl-images-amazon.com/images/I/81tD0uPFKAL._AC_UL300_SR300,200_.jpg"
Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans,Peter Schweizer,4.7 out of 5 stars,441,$22.04,"https://images-na.ssl-images-amazon.com/images/I/912KzseSDFL._AC_UL300_SR300,200_.jpg"
"The Exvangelicals: Loving, Living, and Leaving the White Evangelical Church",Sarah McCammon,4.0 out of 5 stars,12,$13.12,"https://images-na.ssl-images-amazon.com/images/I/91QByNMv28L._AC_UL300_SR300,200_.jpg"
"The Coming Wave: Technology, Power, and the Twenty-First Century's Greatest Dilemma",Mustafa Suleyman,4.3 out of 5 stars,"1,630",$17.72,"https://images-na.ssl-images-amazon.com/images/I/81iQfqYYMHL._AC_UL300_SR300,200_.jpg"
Come As You Are: Revised and Updated: The Surprising New Science That Will Transform Your Sex Life,Emily Nagoski PhD,4.7 out of 5 stars,"5,348",$15.74,"https://images-na.ssl-images-amazon.com/images/I/81T-FIQF43L._AC_UL300_SR300,200_.jpg"
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"44,915",$19.69,"https://images-na.ssl-images-amazon.com/images/I/81T0lHiPNML._AC_UL300_SR300,200_.jpg"
Meditations,Marcus Aurelius,4.5 out of 5 stars,"1,115",$17.95,"https://images-na.ssl-images-amazon.com/images/I/51E2LCvj1ZL._AC_UL300_SR300,200_.jpg"
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties",Tom O'Neill,4.6 out of 5 stars,"9,407",$26.61,"https://images-na.ssl-images-amazon.com/images/I/81cF+LS89TL._AC_UL300_SR300,200_.jpg"
Churchill: Walking with Destiny,Andrew Roberts,4.8 out of 5 stars,"5,265",$35.44,"https://images-na.ssl-images-amazon.com/images/I/71-wS+WNlPL._AC_UL300_SR300,200_.jpg"
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,4.7 out of 5 stars,"8,930",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71Hg1QqZkpL._AC_UL300_SR300,200_.jpg"
Attack from Within: How Disinformation Is Sabotaging America,Barbara McQuade,4.3 out of 5 stars,96,$15.04,"https://images-na.ssl-images-amazon.com/images/I/712Iyh0bWEL._AC_UL300_SR300,200_.jpg"
Grant,Ron Chernow,4.8 out of 5 stars,"13,881",$31.50,"https://images-na.ssl-images-amazon.com/images/I/9156v9R332L._AC_UL300_SR300,200_.jpg"
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,4.4 out of 5 stars,"23,224",$17.05,"https://images-na.ssl-images-amazon.com/images/I/71tSAOppvoL._AC_UL300_SR300,200_.jpg"
"3 IN 1: The Magic of Manifesting Collection 45 Advanced Manifestation Techniques to Shift to Your Dream Reality and Attract Money, Love, and Abundance (Law of Attraction Bundles)",Ryuu Shinohara,4.6 out of 5 stars,167,$6.99,"https://images-na.ssl-images-amazon.com/images/I/81PuGXaQQNL._AC_UL300_SR300,200_.jpg"
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.6 out of 5 stars,"27,047",$15.75,"https://images-na.ssl-images-amazon.com/images/I/715xKDPitYL._AC_UL300_SR300,200_.jpg"
Outliers: The Story of Success,Malcolm Gladwell,4.6 out of 5 stars,"37,004",$23.95,"https://images-na.ssl-images-amazon.com/images/I/71n2AVRwfoL._AC_UL300_SR300,200_.jpg"
Prequel: An American Fight Against Fascism,Rachel Maddow,4.7 out of 5 stars,"4,660",$19.69,"https://images-na.ssl-images-amazon.com/images/I/811KnJm0WDL._AC_UL300_SR300,200_.jpg"
"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",Tim Alberta,4.7 out of 5 stars,"1,997",$22.04,"https://images-na.ssl-images-amazon.com/images/I/912XbQPJjiL._AC_UL300_SR300,200_.jpg"
48 Laws of Power,Robert Greene,4.7 out of 5 stars,"74,777",$17.36,"https://images-na.ssl-images-amazon.com/images/I/71s-d6iLlaL._AC_UL300_SR300,200_.jpg"
Black AF History: The Un-Whitewashed Story of America,Michael Harriot,4.8 out of 5 stars,640,$27.94,"https://images-na.ssl-images-amazon.com/images/I/91lQlWxNo5L._AC_UL300_SR300,200_.jpg"
Becoming,Michelle Obama,4.8 out of 5 stars,"196,396",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71rm0H5uOaL._AC_UL300_SR300,200_.jpg"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,4.3 out of 5 stars,"27,201",$26.95,"https://images-na.ssl-images-amazon.com/images/I/81vQVLNLmHL._AC_UL300_SR300,200_.jpg"
