book_name,author,rating,num_ratings,price,img_link
A Court of Thorns and Roses,Sarah J. Maas,4.6 out of 5 stars,"186,821",$22.57,"https://images-na.ssl-images-amazon.com/images/I/81eKYrX0a6L._AC_UL300_SR300,200_.jpg"
A Court of Mist and Fury,Sarah J. Maas,4.8 out of 5 stars,"166,390",$22.57,"https://images-na.ssl-images-amazon.com/images/I/81yWbjRDOaL._AC_UL300_SR300,200_.jpg"
A Court of Wings and Ruin,Sarah J. Maas,4.8 out of 5 stars,"152,920",$26.33,"https://images-na.ssl-images-amazon.com/images/I/81UBHdWJmcL._AC_UL300_SR300,200_.jpg"
A Court of Silver Flames,Sarah J. Maas,4.8 out of 5 stars,"133,458",$7.99,"https://images-na.ssl-images-amazon.com/images/I/91s+Ai-5vUL._AC_UL300_SR300,200_.jpg"
"House of Earth and Blood: Crescent City, Book 1",Sarah J. Maas,4.7 out of 5 stars,"92,421",$43.71,"https://images-na.ssl-images-amazon.com/images/I/81C3dq5D12L._AC_UL300_SR300,200_.jpg"
A Court of Frost and Starlight,Sarah J. Maas,4.3 out of 5 stars,"101,977",$15.04,"https://images-na.ssl-images-amazon.com/images/I/81rsV18x60L._AC_UL300_SR300,200_.jpg"
"Shōgun, Part One: The Asian Saga, Book 1.1",James Clavell,4.7 out of 5 stars,774,$20.44,"https://images-na.ssl-images-amazon.com/images/I/91QQYVntN+L._AC_UL300_SR300,200_.jpg"
"Butcher & Blackbird: The Ruinous Love Trilogy, Book 1",Brynne Weaver,4.4 out of 5 stars,"20,871",$17.46,"https://images-na.ssl-images-amazon.com/images/I/91j+EQ6ZdGL._AC_UL300_SR300,200_.jpg"
"Haunting Adeline: Cat and Mouse Duet, Book 1",H. D. Carlton,4.4 out of 5 stars,"90,364",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91onD4mp48L._AC_UL300_SR300,200_.jpg"
The Ritual,Shantel Tessier,4.4 out of 5 stars,"59,012",$6.99,"https://images-na.ssl-images-amazon.com/images/I/91mNuBvUjfL._AC_UL300_SR300,200_.jpg"
