book_name,author,rating,num_ratings,price,img_link
Outlive: The Science and Art of Longevity,Peter Attia MD,4.6 out of 5 stars,"12,374",$19.69,"https://images-na.ssl-images-amazon.com/images/I/71IQ8lCksdL._AC_UL300_SR300,200_.jpg"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"138,010",$5.99,"https://images-na.ssl-images-amazon.com/images/I/81tPEe0egBL._AC_UL300_SR300,200_.jpg"
Breath: The New Science of a Lost Art,James Nestor,4.7 out of 5 stars,"27,471",$13.78,"https://images-na.ssl-images-amazon.com/images/I/71leBNbZK9L._AC_UL300_SR300,200_.jpg"
Dopamine Nation: Finding Balance in the Age of Indulgence,Dr. Anna Lembke,4.6 out of 5 stars,"7,634",$13.78,"https://images-na.ssl-images-amazon.com/images/I/91XIjkxgVyL._AC_UL300_SR300,200_.jpg"
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",Robert F. Kennedy Jr.,4.8 out of 5 stars,"25,228",$26.21,"https://images-na.ssl-images-amazon.com/images/I/71BVG6H3yRL._AC_UL300_SR300,200_.jpg"
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.7 out of 5 stars,"30,750",$15.74,"https://images-na.ssl-images-amazon.com/images/I/91sclAONMfL._AC_UL300_SR300,200_.jpg"
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,4.7 out of 5 stars,"11,031",$29.95,"https://images-na.ssl-images-amazon.com/images/I/81G1zJEWD+L._AC_UL300_SR300,200_.jpg"
A Short History of Nearly Everything,Bill Bryson,4.6 out of 5 stars,"17,313",$32.95,"https://images-na.ssl-images-amazon.com/images/I/7187amgk+RL._AC_UL300_SR300,200_.jpg"
Determined: A Science of Life Without Free Will,Robert M. Sapolsky,4.5 out of 5 stars,640,$30.63,"https://images-na.ssl-images-amazon.com/images/I/713WJFKm07L._AC_UL300_SR300,200_.jpg"
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,4.8 out of 5 stars,"7,906",$15.75,"https://images-na.ssl-images-amazon.com/images/I/91zuBdEsWxL._AC_UL300_SR300,200_.jpg"
Behave: The Biology of Humans at Our Best and Worst,Michael Goldstrom,4.7 out of 5 stars,"7,905",$23.63,"https://images-na.ssl-images-amazon.com/images/I/71GT3SqvbrL._AC_UL300_SR300,200_.jpg"
"Guns, Germs and Steel: The Fate of Human Societies",Jared Diamond,4.5 out of 5 stars,"13,250",$26.95,"https://images-na.ssl-images-amazon.com/images/I/91GzlpEscXL._AC_UL300_SR300,200_.jpg"
Transformed: Moving to the Product Operating Model,Marty Cagan,5.0 out of 5 stars,7,$15.04,"https://images-na.ssl-images-amazon.com/images/I/71vlnbewpBL._AC_UL300_SR300,200_.jpg"
American Buffalo: In Search of a Lost Icon,Steven Rinella,4.8 out of 5 stars,"4,577",$13.78,"https://images-na.ssl-images-amazon.com/images/I/81TXgAC7gqL._AC_UL300_SR300,200_.jpg"
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5 out of 5 stars,"35,703",$25.19,"https://images-na.ssl-images-amazon.com/images/I/81mpU5GWymL._AC_UL300_SR300,200_.jpg"
Einstein: His Life and Universe,Walter Isaacson,4.6 out of 5 stars,"5,622",$29.95,"https://images-na.ssl-images-amazon.com/images/I/8111UPBT5oL._AC_UL300_SR300,200_.jpg"
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6 out of 5 stars,"36,039",$10.20,"https://images-na.ssl-images-amazon.com/images/I/A1PnnHu0ZXL._AC_UL300_SR300,200_.jpg"
The Dawn of Everything: A New History of Humanity,David Graeber,4.5 out of 5 stars,"6,183",$30.28,"https://images-na.ssl-images-amazon.com/images/I/71spzvOtFCL._AC_UL300_SR300,200_.jpg"
Surviving to Drive: A Year Inside Formula 1: An F1 Book,Guenther Steiner,4.5 out of 5 stars,"1,542",$15.75,"https://images-na.ssl-images-amazon.com/images/I/81P0dtWBV5L._AC_UL300_SR300,200_.jpg"
