book_name,author,rating,num_ratings,price,img_link
Queen of Shadows,Sarah J. Maas,4.8 out of 5 stars,"73,681",$30.57,"https://images-na.ssl-images-amazon.com/images/I/81POIkf0bAL._AC_UL300_SR300,200_.jpg"
Empire of Storms,Sarah J. Maas,4.8 out of 5 stars,"66,320",$34.96,"https://images-na.ssl-images-amazon.com/images/I/81OF0qoTKQL._AC_UL300_SR300,200_.jpg"
Tower of Dawn,Sarah J. Maas,4.6 out of 5 stars,"51,031",$30.57,"https://images-na.ssl-images-amazon.com/images/I/91GEEs3dWqL._AC_UL300_SR300,200_.jpg"
Murtagh: The World of Eragon,Christopher Paolini,4.7 out of 5 stars,"4,758",$23.63,"https://images-na.ssl-images-amazon.com/images/I/91p2CdFz4EL._AC_UL300_SR300,200_.jpg"
Powerless,Lauren Roberts,4.5 out of 5 stars,"11,043",$19.68,"https://images-na.ssl-images-amazon.com/images/I/910cKryPSgL._AC_UL300_SR300,200_.jpg"
The Ballad of Songbirds and Snakes: A Hunger Games Novel,Suzanne Collins,4.6 out of 5 stars,"85,678",$20.47,"https://images-na.ssl-images-amazon.com/images/I/9156QjXBIHL._AC_UL300_SR300,200_.jpg"
Divine Rivals: A Novel,Rebecca Ross,4.4 out of 5 stars,"47,907",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81UuZejJYlL._AC_UL300_SR300,200_.jpg"
"Ruthless Vows: Letters of Enchantment, Book 2",Rebecca Ross,4.3 out of 5 stars,"17,654",$21.65,"https://images-na.ssl-images-amazon.com/images/I/91ljbVDT9CL._AC_UL300_SR300,200_.jpg"
"Eldest: The Inheritance Cycle, Book 2",Christopher Paolini,4.7 out of 5 stars,"10,592",$32.95,"https://images-na.ssl-images-amazon.com/images/I/91tPTlVMuCL._AC_UL300_SR300,200_.jpg"
The Hunger Games: Special Edition,Suzanne Collins,4.7 out of 5 stars,"88,131",$19.10,"https://images-na.ssl-images-amazon.com/images/I/81gExM+-XtL._AC_UL300_SR300,200_.jpg"
"Inheritance: The Inheritance Cycle, Book 4",Christopher Paolini,4.7 out of 5 stars,"18,200",$39.95,"https://images-na.ssl-images-amazon.com/images/I/91Crc1UoOaL._AC_UL300_SR300,200_.jpg"
"Brisingr: The Inheritance Cycle, Book 3",Christopher Paolini,4.7 out of 5 stars,"10,273",$35.95,"https://images-na.ssl-images-amazon.com/images/I/91oRkBNdJnL._AC_UL300_SR300,200_.jpg"
"Catching Fire: The Hunger Games, Book 2",Suzanne Collins,4.7 out of 5 stars,"70,796",$19.10,"https://images-na.ssl-images-amazon.com/images/I/81SKNqIndVL._AC_UL300_SR300,200_.jpg"
Defiant,Brandon Sanderson,4.7 out of 5 stars,"4,085",$15.31,"https://images-na.ssl-images-amazon.com/images/I/81OV5TuGRzL._AC_UL300_SR300,200_.jpg"
"Mockingjay: The Hunger Games, Book 3",Suzanne Collins,4.6 out of 5 stars,"85,514",$19.10,"https://images-na.ssl-images-amazon.com/images/I/81sjORNm-fL._AC_UL300_SR300,200_.jpg"
