book_name,author,rating,num_ratings,price,img_link
"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry,4.5 out of 5 stars,"45,067",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Js8wlvnDL._AC_UL600_SR600,400_.jpg"
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,4.8 out of 5 stars,"22,762",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71O81kaqp8L._AC_UL600_SR600,400_.jpg"
The Creative Act: A Way of Being,Rick Rubin,4.7 out of 5 stars,"6,418",$17.72,"https://images-na.ssl-images-amazon.com/images/I/A1sD6bvYlTL._AC_UL600_SR600,400_.jpg"
Born a Crime: Stories from a South African Childhood,Trevor Noah,4.7 out of 5 stars,"105,522",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91RTxlqiz4L._AC_UL600_SR600,400_.jpg"
The Storyteller: Tales of Life and Music,Dave Grohl,4.8 out of 5 stars,"33,548",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81X5gR504zL._AC_UL600_SR600,400_.jpg"
Color: A Natural History of the Palette,Victoria Finlay,4.5 out of 5 stars,793,$30.63,"https://images-na.ssl-images-amazon.com/images/I/91lCnO4Ud+L._AC_UL600_SR600,400_.jpg"
"A Long Time Ago, in a Cutting Room Far, Far Away: My Fifty Years Editing Hollywood Hits - Star Wars, Carrie, Ferris Bueller’s Day Off, Mission: Impossible, and More",Paul Hirsch,4.7 out of 5 stars,308,$17.03,"https://images-na.ssl-images-amazon.com/images/I/81fLHqQZ45L._AC_UL600_SR600,400_.jpg"
"Hits, Flops, and Other Illusions: My Fortysomething Years in Hollywood",Ed Zwick,4.6 out of 5 stars,126,$15.74,"https://images-na.ssl-images-amazon.com/images/I/71BszQ6zNeL._AC_UL600_SR600,400_.jpg"
My Effin' Life,Geddy Lee,4.8 out of 5 stars,"1,844",$22.04,"https://images-na.ssl-images-amazon.com/images/I/914EvpWLnsL._AC_UL600_SR600,400_.jpg"
Get the Picture: A Mind-Bending Journey Among the Inspired Artists and Obsessive Art Fiends Who Taught Me How to See,Bianca Bosker,4.4 out of 5 stars,139,$17.72,"https://images-na.ssl-images-amazon.com/images/I/81SNDnJndSL._AC_UL600_SR600,400_.jpg"
Cary Grant: The Making of a Hollywood Legend,Mark Glancy,4.7 out of 5 stars,76,$12.24,"https://images-na.ssl-images-amazon.com/images/I/81FHMZzTdJS._AC_UL600_SR600,400_.jpg"
"Rescue Story: Faith, Freedom, and Finding My Way Home",Zach Williams,4.6 out of 5 stars,54,$17.32,"https://images-na.ssl-images-amazon.com/images/I/81zoPDoKJVL._AC_UL600_SR600,400_.jpg"
