book_name,author,rating,num_ratings,price,img_link
"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry,4.5 out of 5 stars,"45,209",$17.71,"https://images-na.ssl-images-amazon.com/images/I/81Js8wlvnDL._AC_UL600_SR600,400_.jpg"
The Creative Act: A Way of Being,Rick Rubin,4.7 out of 5 stars,"6,452",$17.72,"https://images-na.ssl-images-amazon.com/images/I/A1sD6bvYlTL._AC_UL600_SR600,400_.jpg"
Born a Crime: Stories from a South African Childhood,Trevor Noah,4.7 out of 5 stars,"105,553",$21.83,"https://images-na.ssl-images-amazon.com/images/I/91RTxlqiz4L._AC_UL600_SR600,400_.jpg"
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,4.8 out of 5 stars,"22,765",$15.75,"https://images-na.ssl-images-amazon.com/images/I/71O81kaqp8L._AC_UL600_SR600,400_.jpg"
The Storyteller: Expanded: ...Because There's More to the Story,Dave Grohl,4.8 out of 5 stars,"33,568",$22.04,"https://images-na.ssl-images-amazon.com/images/I/81DO6CK97cL._AC_UL600_SR600,400_.jpg"
My Effin' Life,Geddy Lee,4.8 out of 5 stars,"1,868",$22.04,"https://images-na.ssl-images-amazon.com/images/I/914EvpWLnsL._AC_UL600_SR600,400_.jpg"
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",Michael Finkel,4.3 out of 5 stars,"3,802",$17.72,"https://images-na.ssl-images-amazon.com/images/I/91AExGkd2uL._AC_UL600_SR600,400_.jpg"
"Rescue Story: Faith, Freedom, and Finding My Way Home",Zach Williams,4.6 out of 5 stars,63,$17.32,"https://images-na.ssl-images-amazon.com/images/I/81zoPDoKJVL._AC_UL600_SR600,400_.jpg"
Get the Picture: A Mind-Bending Journey Among the Inspired Artists and Obsessive Art Fiends Who Taught Me How to See,Bianca Bosker,4.4 out of 5 stars,154,$17.72,"https://images-na.ssl-images-amazon.com/images/I/81SNDnJndSL._AC_UL600_SR600,400_.jpg"
Wildflower,Drew Barrymore,4.2 out of 5 stars,"4,335",$13.78,"https://images-na.ssl-images-amazon.com/images/I/71jbc0LmOWL._AC_UL600_SR600,400_.jpg"
"Hits, Flops, and Other Illusions: My Fortysomething Years in Hollywood",Ed Zwick,4.6 out of 5 stars,141,$15.74,"https://images-na.ssl-images-amazon.com/images/I/71BszQ6zNeL._AC_UL600_SR600,400_.jpg"
Open Book: A Memoir,Jessica Simpson,4.6 out of 5 stars,"17,682",$22.04,"https://images-na.ssl-images-amazon.com/images/I/917sBDIjitL._AC_UL600_SR600,400_.jpg"
